league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2223,vs Hellas Verona,38,56,539,183,34.0,14.18,4.82,0.1,0.3,1,2,49.9,48.4,0.09,6.1,6.6
ITA-Serie A,2223,vs Inter,38,39,423,134,31.7,11.13,3.53,0.09,0.27,3,3,36.5,34.1,0.08,2.5,1.9
ITA-Serie A,2223,vs Juventus,38,33,461,128,27.8,12.13,3.37,0.06,0.23,4,5,41.6,37.7,0.08,-8.6,-8.7
ITA-Serie A,2223,vs Lazio,38,29,463,127,27.4,12.18,3.34,0.06,0.22,1,2,41.3,39.8,0.09,-12.3,-11.8
ITA-Serie A,2223,vs Lecce,38,43,442,150,33.9,11.63,3.95,0.09,0.25,5,6,42.4,38.0,0.09,0.6,0.0
ITA-Serie A,2223,vs Milan,38,42,401,118,29.4,10.55,3.11,0.09,0.32,4,5,41.1,37.2,0.1,0.9,0.8
ITA-Serie A,2223,vs Monza,38,51,484,169,34.9,12.74,4.45,0.1,0.28,3,3,51.3,49.0,0.1,-0.3,-1.0
ITA-Serie A,2223,vs Napoli,38,28,363,105,28.9,9.55,2.76,0.07,0.26,1,2,31.8,30.2,0.08,-3.8,-3.2
ITA-Serie A,2223,vs Roma,38,37,393,115,29.3,10.34,3.03,0.09,0.3,2,3,32.3,30.0,0.08,4.7,5.0
ITA-Serie A,2223,vs Salernitana,38,62,583,185,31.7,15.34,4.87,0.09,0.3,7,11,67.1,58.0,0.1,-5.1,-3.0
ITA-Serie A,2223,vs Sampdoria,38,69,591,205,34.7,15.55,5.39,0.1,0.3,8,11,66.3,57.9,0.1,2.7,3.1
ITA-Serie A,2223,vs Sassuolo,38,59,479,126,26.3,12.61,3.32,0.11,0.44,4,4,49.7,47.1,0.1,9.3,7.9
ITA-Serie A,2223,vs Spezia,38,59,592,177,29.9,15.58,4.66,0.09,0.31,5,7,59.5,54.0,0.09,-0.5,0.0
ITA-Serie A,2223,vs Torino,38,41,427,131,30.7,11.24,3.45,0.08,0.27,5,6,40.0,35.3,0.08,1.0,0.7
ITA-Serie A,2223,vs Udinese,38,46,460,131,28.5,12.11,3.45,0.09,0.31,6,7,51.8,46.7,0.1,-5.8,-6.7
ITA-Serie A,2324,vs Atalanta,38,41,443,134,30.2,11.66,3.53,0.08,0.26,6,9,41.1,34.1,0.08,-0.1,0.9
ITA-Serie A,2324,vs Bologna,38,31,402,120,29.9,10.58,3.16,0.07,0.23,3,7,37.1,31.6,0.08,-6.1,-3.6
ITA-Serie A,2324,vs Cagliari,38,65,484,153,31.6,12.74,4.03,0.13,0.4,4,5,54.5,50.7,0.11,10.5,10.3
ITA-Serie A,2324,vs Empoli,38,53,556,177,31.8,14.63,4.66,0.08,0.27,6,8,52.9,47.1,0.09,0.1,-0.1
ITA-Serie A,2324,vs Fiorentina,38,46,371,139,37.5,9.76,3.66,0.1,0.27,8,9,48.2,41.1,0.11,-2.2,-3.1
ITA-Serie A,2324,vs Frosinone,38,67,551,174,31.6,14.5,4.58,0.11,0.36,5,8,57.7,51.7,0.1,9.3,10.3
ITA-Serie A,2324,vs Genoa,38,44,497,135,27.2,13.08,3.55,0.08,0.3,3,4,42.8,39.7,0.08,1.2,1.3
ITA-Serie A,2324,vs Hellas Verona,38,50,512,161,31.4,13.47,4.24,0.09,0.3,2,2,48.7,47.2,0.09,1.3,0.8
ITA-Serie A,2324,vs Inter,38,22,391,110,28.1,10.29,2.89,0.05,0.18,2,4,31.2,28.0,0.07,-9.2,-8.0
ITA-Serie A,2324,vs Juventus,38,29,439,113,25.7,11.55,2.97,0.06,0.24,2,3,30.1,27.6,0.06,-1.1,-0.6
ITA-Serie A,2324,vs Lazio,38,39,483,146,30.2,12.71,3.84,0.08,0.25,2,3,42.0,39.6,0.08,-3.0,-2.6
ITA-Serie A,2324,vs Lecce,38,53,509,167,32.8,13.39,4.39,0.09,0.29,5,6,53.3,49.4,0.1,-0.3,-1.4
ITA-Serie A,2324,vs Milan,38,48,490,155,31.6,12.89,4.08,0.08,0.26,8,8,45.4,39.1,0.08,2.6,0.9
ITA-Serie A,2324,vs Monza,38,51,545,182,33.4,14.34,4.79,0.08,0.24,7,9,56.3,48.9,0.09,-5.3,-4.9
ITA-Serie A,2324,vs Napoli,38,48,392,124,31.6,10.32,3.26,0.12,0.37,2,4,38.4,35.4,0.09,9.6,10.6
ITA-Serie A,2324,vs Roma,38,43,477,147,30.8,12.55,3.87,0.08,0.27,3,5,41.8,38.0,0.08,1.2,2.0
