league,season,team,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
ITA-Serie A,2223,vs Cremonese,38,36,5,0,2,1,33.4,0.21,-1.6,-0.04,161,422,38.2,990,196,31.0,33.8,324,35.5,34.4,517,30,5.8,34,0.89,14.9
ITA-Serie A,2223,vs Empoli,38,37,2,1,5,2,30.9,0.23,-4.1,-0.11,147,386,38.1,919,172,31.2,33.9,278,35.6,35.2,459,15,3.3,32,0.84,14.6
ITA-Serie A,2223,vs Fiorentina,38,53,4,2,8,2,50.5,0.26,-0.5,-0.01,267,756,35.3,1241,193,44.9,38.2,372,53.5,42.2,677,37,5.5,30,0.79,12.3
ITA-Serie A,2223,vs Hellas Verona,38,31,1,0,5,2,30.6,0.26,1.6,0.04,257,729,35.3,1210,151,47.3,38.7,327,48.0,37.9,494,27,5.5,43,1.13,15.4
ITA-Serie A,2223,vs Inter,38,71,4,2,6,3,63.3,0.3,-4.7,-0.12,185,563,32.9,961,180,38.6,37.1,359,53.5,43.4,705,30,4.3,20,0.53,11.0
ITA-Serie A,2223,vs Juventus,38,56,3,4,11,0,51.7,0.28,-4.3,-0.11,183,445,41.1,906,164,34.4,34.8,313,42.5,37.6,568,17,3.0,31,0.82,14.6
ITA-Serie A,2223,vs Lazio,38,60,6,1,5,1,57.4,0.3,-1.6,-0.04,182,445,40.9,1224,168,27.9,30.6,254,40.6,37.2,382,21,5.5,47,1.24,14.4
ITA-Serie A,2223,vs Lecce,38,33,4,0,5,2,30.1,0.23,-0.9,-0.02,183,486,37.7,1098,208,34.2,33.4,330,33.6,32.6,536,32,6.0,38,1.0,15.9
ITA-Serie A,2223,vs Milan,38,64,5,1,5,3,60.8,0.31,-0.2,0.0,189,548,34.5,889,191,42.6,37.6,327,51.7,42.2,538,25,4.6,42,1.11,14.2
ITA-Serie A,2223,vs Monza,38,48,5,2,3,2,42.2,0.25,-3.8,-0.1,153,379,40.4,925,156,30.8,33.7,263,35.7,35.1,458,26,5.7,48,1.26,16.3
ITA-Serie A,2223,vs Napoli,38,77,8,0,16,2,63.7,0.25,-11.3,-0.3,207,628,33.0,1015,171,43.8,37.4,356,51.4,41.0,530,16,3.0,26,0.68,12.6
ITA-Serie A,2223,vs Roma,38,50,7,0,8,0,50.4,0.27,0.4,0.01,162,491,33.0,1056,180,33.3,35.0,284,48.9,40.3,473,26,5.5,57,1.5,15.4
ITA-Serie A,2223,vs Salernitana,38,48,2,1,5,2,39.0,0.32,-7.0,-0.18,121,387,31.3,928,167,32.5,33.7,247,34.4,32.7,434,23,5.3,42,1.11,15.9
ITA-Serie A,2223,vs Sampdoria,38,24,1,0,3,1,26.2,0.21,3.2,0.08,159,449,35.4,999,163,36.3,34.7,249,34.5,34.9,483,27,5.6,28,0.74,13.9
ITA-Serie A,2223,vs Sassuolo,38,47,9,1,5,1,48.1,0.23,2.1,0.06,197,491,40.1,1111,195,32.9,32.5,316,39.9,34.5,471,17,3.6,25,0.66,13.9
