index,season,matchday,team1,team2
264,2122,27,Atalanta,Sampdoria
265,2122,28,Inter,Salernitana
266,2122,28,Cagliari,Lazio
267,2122,28,Roma,Atalanta
268,2122,28,Udinese,Sampdoria
269,2122,28,Bologna,Torino
270,2122,28,Fiorentina,Verona
271,2122,28,Genoa,Empoli
272,2122,28,Juventus,Spezia
273,2122,28,Napoli,Milan
274,2122,28,Venezia,Sassuolo
275,2122,29,Milan,Empoli
276,2122,29,Salernitana,Sassuolo
277,2122,29,Sampdoria,Juventus
278,2122,29,Spezia,Cagliari
279,2122,29,Atalanta,Genoa
280,2122,29,Fiorentina,Bologna
281,2122,29,Verona,Napoli
282,2122,29,Torino,Inter
283,2122,29,Udinese,Roma
284,2122,29,Lazio,Venezia
285,2122,30,Genoa,Torino
286,2122,30,Sassuolo,Spezia
287,2122,30,Cagliari,Milan
288,2122,30,Inter,Fiorentina
289,2122,30,Napoli,Udinese
290,2122,30,Bologna,Atalanta
291,2122,30,Empoli,Verona
292,2122,30,Juventus,Salernitana
293,2122,30,Roma,Lazio
294,2122,30,Venezia,Sampdoria
295,2122,31,Lazio,Sassuolo
296,2122,31,Salernitana,Torino
297,2122,31,Spezia,Venezia
298,2122,31,Atalanta,Napoli
299,2122,31,Fiorentina,Empoli
300,2122,31,Juventus,Inter
301,2122,31,Sampdoria,Roma
302,2122,31,Udinese,Cagliari
303,2122,31,Verona,Genoa
304,2122,31,Milan,Bologna
305,2122,32,Cagliari,Juventus
306,2122,32,Empoli,Spezia
307,2122,32,Inter,Verona
308,2122,32,Genoa,Lazio
309,2122,32,Napoli,Fiorentina
310,2122,32,Roma,Salernitana
311,2122,32,Sassuolo,Atalanta
312,2122,32,Torino,Milan
313,2122,32,Venezia,Udinese
314,2122,32,Bologna,Sampdoria
315,2122,33,Milan,Genoa
316,2122,33,Spezia,Inter
317,2122,33,Cagliari,Sassuolo
318,2122,33,Fiorentina,Venezia
319,2122,33,Juventus,Bologna
320,2122,33,Lazio,Torino
321,2122,33,Sampdoria,Salernitana
322,2122,33,Udinese,Empoli
323,2122,33,Atalanta,Verona
324,2122,33,Napoli,Roma
325,2122,19,Udinese,Salernitana
326,2122,34,Verona,Sampdoria
327,2122,34,Inter,Roma
328,2122,34,Torino,Spezia
329,2122,34,Venezia,Atalanta
330,2122,34,Bologna,Udinese
331,2122,34,Empoli,Napoli
332,2122,34,Genoa,Cagliari
333,2122,34,Lazio,Milan
334,2122,34,Salernitana,Fiorentina
335,2122,34,Sassuolo,Juventus
336,2122,20,Atalanta,Torino
337,2122,20,Bologna,Inter
338,2122,20,Fiorentina,Udinese
339,2122,35,Cagliari,Verona
340,2122,35,Napoli,Sassuolo
341,2122,35,Sampdoria,Genoa
342,2122,35,Spezia,Lazio
343,2122,35,Empoli,Torino
344,2122,35,Juventus,Venezia
345,2122,35,Milan,Fiorentina
346,2122,35,Roma,Bologna
347,2122,35,Udinese,Inter
348,2122,35,Atalanta,Salernitana
349,2122,20,Salernitana,Venezia
350,2122,36,Genoa,Juventus
351,2122,36,Inter,Empoli
352,2122,36,Lazio,Sampdoria
353,2122,36,Sassuolo,Udinese
354,2122,36,Torino,Napoli
355,2122,36,Verona,Milan
356,2122,36,Salernitana,Cagliari
357,2122,36,Spezia,Atalanta
358,2122,36,Venezia,Bologna
359,2122,36,Fiorentina,Roma
360,2122,37,Empoli,Salernitana
361,2122,37,Verona,Torino
362,2122,37,Roma,Venezia
363,2122,37,Udinese,Spezia
364,2122,37,Bologna,Sassuolo
365,2122,37,Cagliari,Inter
366,2122,37,Milan,Atalanta
367,2122,37,Napoli,Genoa
368,2122,37,Juventus,Lazio
369,2122,37,Sampdoria,Fiorentina
370,2122,38,Torino,Roma
371,2122,38,Atalanta,Empoli
372,2122,38,Fiorentina,Juventus
373,2122,38,Genoa,Bologna
374,2122,38,Lazio,Verona
375,2122,38,Inter,Sampdoria
376,2122,38,Salernitana,Udinese
377,2122,38,Sassuolo,Milan
378,2122,38,Spezia,Napoli
379,2122,38,Venezia,Cagliari
380,2223,1,Lecce,Inter
381,2223,1,Milan,Udinese
382,2223,1,Monza,Torino
383,2223,1,Sampdoria,Atalanta
384,2223,1,Fiorentina,Cremonese
385,2223,1,Lazio,Bologna
386,2223,1,Salernitana,Roma
387,2223,1,Spezia,Empoli
388,2223,1,Verona,Napoli
389,2223,1,Juventus,Sassuolo
390,2223,2,Inter,Spezia
391,2223,2,Sassuolo,Lecce
392,2223,2,Torino,Lazio
