league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,Sassuolo,38,60,569,204,35.9,14.97,5.37,0.09,0.26,7,7,55.7,50.2,0.09,4.3,2.8
ITA-Serie A,2122,Spezia,38,38,381,127,33.3,10.03,3.34,0.09,0.28,3,5,40.1,36.2,0.1,-2.1,-1.2
ITA-Serie A,2122,Torino,38,43,470,142,30.2,12.37,3.74,0.08,0.26,6,6,48.7,44.1,0.1,-5.7,-7.1
ITA-Serie A,2122,Udinese,38,58,505,181,35.8,13.29,4.76,0.11,0.3,3,4,51.3,48.2,0.1,6.7,6.8
ITA-Serie A,2122,Venezia,38,34,349,113,32.4,9.18,2.97,0.09,0.27,3,5,36.5,32.4,0.09,-2.5,-1.4
ITA-Serie A,2223,Atalanta,38,64,506,168,33.2,13.32,4.42,0.11,0.35,6,8,57.7,51.3,0.1,6.3,6.7
ITA-Serie A,2223,Bologna,38,52,479,150,31.3,12.61,3.95,0.1,0.31,6,6,43.8,39.4,0.08,8.2,6.6
ITA-Serie A,2223,Cremonese,38,35,458,122,26.6,12.05,3.21,0.07,0.25,5,7,38.7,33.2,0.07,-3.7,-3.2
ITA-Serie A,2223,Empoli,38,35,447,129,28.9,11.76,3.39,0.07,0.26,2,2,38.8,37.2,0.09,-3.8,-4.2
ITA-Serie A,2223,Fiorentina,38,51,597,171,28.6,15.71,4.5,0.08,0.27,4,6,55.0,50.8,0.09,-4.0,-3.8
ITA-Serie A,2223,Hellas Verona,38,29,415,116,28.0,10.92,3.05,0.07,0.24,1,1,35.8,35.1,0.09,-6.8,-7.1
ITA-Serie A,2223,Inter,38,68,625,197,31.5,16.45,5.18,0.1,0.32,4,5,68.0,64.5,0.11,0.0,-0.5
ITA-Serie A,2223,Juventus,38,56,529,171,32.3,13.92,4.5,0.1,0.31,3,6,55.3,50.4,0.1,0.7,2.6
ITA-Serie A,2223,Lazio,38,59,430,161,37.4,11.32,4.24,0.12,0.33,6,8,51.1,44.9,0.11,7.9,8.1
ITA-Serie A,2223,Lecce,38,31,412,106,25.7,10.84,2.79,0.07,0.25,4,6,36.3,31.6,0.08,-5.3,-4.6
ITA-Serie A,2223,Milan,38,61,546,178,32.6,14.37,4.68,0.1,0.31,5,5,58.8,55.1,0.1,2.2,0.9
ITA-Serie A,2223,Monza,38,46,406,139,34.2,10.68,3.66,0.1,0.29,5,6,45.9,41.2,0.1,0.1,-0.2
ITA-Serie A,2223,Napoli,38,75,605,212,35.0,15.92,5.58,0.11,0.32,8,10,64.7,56.8,0.1,10.3,10.2
