league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,4,4,4,0,0,0,4,0,0,,0,,2,16,15,0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,443,3,60,167,221,26,443,34,14,41.2,20,58.8,286,1797,830,21,20,8,23,15,326,64
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,75,2,16,41,20,1,75,4,1,25.0,3,75.0,36,131,58,1,2,0,0,0,45,2
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,1484,71,358,891,248,31,1484,34,14,41.2,20,58.8,717,3434,1417,18,21,1,34,21,904,44
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,0.2,25,0,2,19,5,0,25,1,1,100.0,0,0.0,13,47,24,0,0,0,1,0,16,0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,19.8,968,17,117,450,409,55,966,58,26,44.8,32,55.2,549,3095,1420,38,16,13,51,29,719,125
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,0.5,22,9,20,3,0,0,22,0,0,,0,,8,44,20,0,0,0,1,0,7,0
ITA-Serie A,2122,Bologna,Roberto Soriano,ITA,MF,30,1991,29.1,1555,48,263,813,497,54,1555,37,21,56.8,16,43.2,901,5002,2282,48,53,8,44,14,1154,145
ITA-Serie A,2122,Bologna,Sydney van Hooijdonk,NED,"FW,MF",21,2000,0.4,23,0,0,11,13,1,23,1,1,100.0,0,0.0,13,62,7,0,1,0,2,1,20,3
ITA-Serie A,2122,Bologna,Takehiro Tomiyasu,JPN,DF,22,1998,0.1,5,0,2,1,2,0,5,1,1,100.0,0,0.0,3,30,0,0,0,0,1,0,2,0
ITA-Serie A,2122,Bologna,Wisdom Amey,ITA,DF,15,2005,0.8,41,1,17,23,2,0,41,1,0,0.0,1,100.0,19,125,68,0,1,0,0,0,17,0
