league,season,team,player,nationality,position,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,Cagliari,Adam Obert,SVK,"DF,MF",18,2002,3.0,8,5,6,2,0,5,6,83.3,1,6,4,2,4,11,0
ITA-Serie A,2122,Cagliari,Alberto Grassi,ITA,MF,26,1995,24.2,47,26,13,30,4,16,38,42.1,22,27,9,18,63,33,1
ITA-Serie A,2122,Cagliari,Alessandro Deiola,ITA,MF,25,1995,23.7,47,22,15,25,7,23,58,39.7,35,28,10,18,26,45,0
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,3,3,2,1,0,3,3,100.0,0,0,0,0,1,14,1
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,24.6,53,24,33,16,4,19,42,45.2,23,42,15,27,27,87,0
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,20.2,19,12,16,1,2,11,20,55.0,9,18,8,10,31,73,0
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,0.5,2,2,2,0,0,1,4,25.0,3,0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,23.1,43,23,23,16,4,11,35,31.4,24,28,5,23,24,34,0
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,3.2,6,5,3,1,2,1,5,20.0,4,2,0,2,2,5,0
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,0.7,1,1,0,1,0,1,3,33.3,2,0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,9.1,18,7,13,3,2,10,15,66.7,5,7,5,2,13,46,0
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,10.4,12,5,7,5,0,4,11,36.4,7,8,5,3,22,23,0
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,12.7,21,9,12,6,3,6,24,25.0,18,15,5,10,14,28,0
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,10.8,13,5,7,4,2,5,18,27.8,13,12,1,11,1,8,0
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,16.3,39,28,18,18,3,21,26,80.8,5,17,5,12,30,70,0
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,36.9,15,12,2,8,5,4,18,22.2,14,23,5,18,8,18,1
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,13.7,8,4,1,5,2,1,10,10.0,9,6,0,6,4,6,0
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,7.1,8,4,2,4,2,5,12,41.7,7,11,2,9,10,15,0
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,16.9,10,6,2,5,3,3,9,33.3,6,9,5,4,2,12,0
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,16.1,23,12,13,10,0,16,27,59.3,11,21,14,7,25,54,0
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,1,0
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,3.5,5,3,1,2,2,1,8,12.5,7,6,1,5,1,3,0
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,9.2,13,7,5,5,3,4,12,33.3,8,12,3,9,14,21,0
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,13.8,23,15,13,10,0,8,20,40.0,12,21,10,11,28,43,0
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,16.9,39,21,16,15,8,18,33,54.5,15,16,1,15,9,15,1
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,0.2,1,1,1,0,0,0,0,,0,2,0,2,0,0,0
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,27.7,29,15,14,12,3,6,27,22.2,21,39,8,31,21,51,0
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,31.3,42,21,16,22,4,24,54,44.4,30,23,5,18,10,17,1
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,3.4,9,5,7,2,0,3,5,60.0,2,5,2,3,7,14,0
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,5.4,2,0,0,0,2,1,2,50.0,1,3,1,2,1,6,0
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,31.9,11,6,0,7,4,2,18,11.1,16,24,3,21,7,23,0
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,14.1,13,9,8,4,1,5,14,35.7,9,21,11,10,24,80,0
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,16.4,35,19,25,5,5,13,31,41.9,18,30,10,20,22,42,0
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,15.2,16,5,2,8,6,9,23,39.1,14,17,1,16,9,11,0
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,21.7,33,20,10,17,6,15,31,48.4,16,22,5,17,10,37,2
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,1,1,1,0,0,1,1,100.0,0,1,0,1,1,21,1
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,15.0,18,9,9,8,1,11,29,37.9,18,16,7,9,19,15,1
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,9.3,13,6,5,6,2,7,19,36.8,12,6,2,4,8,15,0
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,4.7,1,1,0,1,0,0,6,0.0,6,2,0,2,1,2,0
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,22.4,22,13,7,8,7,9,31,29.0,22,14,4,10,9,13,0
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,5.2,15,6,8,4,3,8,8,100.0,0,7,2,5,8,9,0
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,9.7,17,9,11,4,2,6,13,46.2,7,14,8,6,19,28,2
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,4.2,6,3,3,2,1,1,10,10.0,9,4,0,4,3,6,0
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,16.6,28,16,16,9,3,15,24,62.5,9,28,25,3,29,69,1
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,22.8,21,14,5,13,3,4,14,28.6,10,11,0,11,3,8,0
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,11.1,35,22,15,10,10,17,39,43.6,22,24,4,20,9,17,1
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,15.6,5,2,0,3,2,1,9,11.1,8,11,1,10,5,1,0
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,30.4,96,63,55,32,9,59,114,51.8,55,39,13,26,27,65,1
ITA-Serie A,2122,Empoli,Riccardo Fiamozzi,ITA,DF,28,1993,6.9,7,5,2,2,3,2,4,50.0,2,6,5,1,7,12,0
ITA-Serie A,2122,Empoli,Riccardo Marchizza,ITA,DF,23,1998,15.0,21,15,11,8,2,11,16,68.8,5,15,6,9,10,24,0
ITA-Serie A,2122,Empoli,Samuele Ricci,ITA,MF,19,2001,17.0,33,19,17,13,3,20,34,58.8,14,24,5,19,31,18,0
ITA-Serie A,2122,Empoli,Sebastiano Luperto,ITA,DF,24,1996,21.8,29,17,17,10,2,10,20,50.0,10,32,26,6,45,132,0
ITA-Serie A,2122,Empoli,Simone Romagnoli,ITA,DF,31,1990,16.6,28,12,14,12,2,15,20,75.0,5,34,28,6,9,86,0
ITA-Serie A,2122,Empoli,Szymon Żurkowski,POL,MF,23,1997,25.6,58,33,24,21,13,29,68,42.6,39,43,10,33,35,32,1
ITA-Serie A,2122,Empoli,Tommaso Baldanzi,ITA,FW,18,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0
ITA-Serie A,2122,Empoli,Valerio Verre,ITA,MF,27,1994,3.4,4,2,3,1,0,2,7,28.6,5,2,0,2,1,0,0
ITA-Serie A,2122,Fiorentina,Aleksa Terzić,SRB,DF,21,1999,3.0,8,5,3,3,2,4,7,57.1,3,7,0,7,4,5,0
ITA-Serie A,2122,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",30,1991,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,0,0
ITA-Serie A,2122,Fiorentina,Alfred Duncan,GHA,MF,28,1993,21.5,34,19,13,16,5,11,32,34.4,21,32,3,29,10,7,0
ITA-Serie A,2122,Fiorentina,Arthur Cabral,BRA,FW,23,1998,8.3,9,5,2,5,2,4,7,57.1,3,4,1,3,1,8,0
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,6.2,0,0,0,0,0,0,0,,0,0,0,0,1,5,2
ITA-Serie A,2122,Fiorentina,Cristiano Biraghi,ITA,DF,28,1992,35.0,37,24,17,15,5,22,53,41.5,31,28,10,18,19,31,1
ITA-Serie A,2122,Fiorentina,Dušan Vlahović,SRB,FW,21,2000,20.6,5,0,0,2,3,2,11,18.2,9,6,2,4,1,16,0
ITA-Serie A,2122,Fiorentina,Erick Pulgar,CHI,MF,27,1994,3.8,6,6,4,2,0,4,9,44.4,5,5,1,4,5,2,1
ITA-Serie A,2122,Fiorentina,Filippo Distefano,ITA,FW,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
