league,season,team,player,nationality,position,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,3,0,0,1,8,0,0,1,3,0,1,0,39,3,3,50.0
ITA-Serie A,2122,Cagliari,Andrea Carboni,ITA,DF,20,2001,24.6,6,0,0,18,9,0,25,27,24,0,0,1,110,41,38,51.9
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,20.2,2,0,0,29,14,0,95,31,12,0,1,0,90,33,29,53.2
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,0.5,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0.0
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,23.1,9,0,0,38,28,4,73,24,23,0,2,0,132,25,37,40.3
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,3.2,1,0,0,2,3,0,17,2,5,0,0,0,24,2,3,40.0
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,0.7,0,0,0,0,0,0,2,0,1,0,0,0,5,1,2,33.3
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,9.1,3,0,0,13,3,0,0,13,7,0,1,0,53,18,12,60.0
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,10.4,3,0,0,22,13,1,13,22,5,0,0,0,57,28,19,59.6
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,12.7,4,1,1,16,11,0,25,14,9,0,0,0,68,12,9,57.1
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,10.8,1,0,0,16,4,2,40,1,5,0,0,0,36,23,30,43.4
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,16.3,5,0,0,35,10,1,27,30,28,0,1,0,126,46,34,57.5
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,36.9,9,0,0,68,86,31,14,8,12,1,0,0,112,63,113,35.8
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,13.7,2,0,0,27,30,9,8,4,4,1,1,0,33,20,46,30.3
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,7.1,4,0,0,10,10,0,2,10,4,0,1,0,42,5,6,45.5
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,16.9,9,0,0,45,28,4,3,2,6,1,0,0,50,126,121,51.0
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,16.1,3,0,0,18,12,1,7,25,12,0,0,0,87,40,22,64.5
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,3.5,0,0,0,11,14,0,3,1,3,0,0,0,19,4,5,44.4
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,9.2,3,1,0,7,9,0,12,14,7,0,0,0,55,5,5,50.0
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,13.8,4,0,0,16,14,0,0,28,15,0,1,0,106,21,23,47.7
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,16.9,4,0,0,27,33,12,65,9,21,0,0,0,86,44,49,47.3
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,0.2,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,50.0
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,27.7,3,0,0,10,35,2,96,21,15,0,1,0,123,15,26,36.6
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,31.3,6,1,1,36,31,1,127,10,21,0,0,0,168,20,25,44.4
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,3.4,1,0,0,4,3,0,1,7,5,0,0,0,14,2,1,66.7
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,5.4,0,0,0,6,6,3,1,1,0,1,0,0,11,27,17,61.4
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,31.9,4,0,0,32,56,19,28,7,6,1,0,0,62,75,128,36.9
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,14.1,7,0,0,17,14,0,3,24,9,0,0,2,78,38,21,64.4
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,16.4,5,0,0,22,29,0,43,22,19,0,1,0,138,7,11,38.9
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,15.2,2,0,0,29,27,13,38,9,5,1,0,0,50,2,17,10.5
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,21.7,10,0,0,53,18,5,68,10,20,0,1,0,117,12,31,27.9
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,1,0,0,1,7,0,0,1,1,0,1,0,50,12,1,92.3
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,15.0,2,0,0,13,23,0,29,19,9,0,0,0,122,4,6,40.0
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,9.3,1,0,0,7,16,0,25,8,6,0,0,0,49,5,6,45.5
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,4.7,0,0,0,1,2,5,5,1,1,0,0,0,11,1,11,8.3
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,22.4,4,0,0,59,22,3,87,9,13,2,1,0,99,14,15,48.3
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,5.2,1,0,0,9,6,0,11,8,6,0,0,0,29,2,6,25.0
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,9.7,4,0,0,9,24,1,1,19,9,0,0,1,54,28,19,59.6
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,4.2,1,0,0,5,5,0,13,3,3,0,0,0,14,7,14,33.3
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,16.6,3,1,1,15,13,1,0,29,16,0,0,1,83,29,33,46.8
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,22.8,3,0,0,16,14,7,156,3,14,0,0,0,91,0,14,0.0
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,11.1,3,0,0,18,11,1,15,9,22,0,0,0,74,5,15,25.0
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,15.6,1,0,0,13,16,20,21,5,2,1,0,0,40,9,30,23.1
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,30.4,11,1,1,45,22,2,68,27,63,0,2,0,203,14,19,42.4
ITA-Serie A,2122,Empoli,Riccardo Fiamozzi,ITA,DF,28,1993,6.9,1,0,0,3,7,0,11,7,5,0,1,0,42,4,6,40.0
ITA-Serie A,2122,Empoli,Riccardo Marchizza,ITA,DF,23,1998,15.0,4,0,0,19,3,2,42,10,15,0,0,1,72,7,9,43.8
ITA-Serie A,2122,Empoli,Samuele Ricci,ITA,MF,19,2001,17.0,1,1,0,17,42,0,6,31,19,0,0,0,121,3,4,42.9
ITA-Serie A,2122,Empoli,Sebastiano Luperto,ITA,DF,24,1996,21.8,8,1,1,30,5,1,6,45,17,0,1,0,92,44,44,50.0
ITA-Serie A,2122,Empoli,Simone Romagnoli,ITA,DF,31,1990,16.6,3,0,0,17,5,0,1,9,12,0,1,1,103,54,33,62.1
ITA-Serie A,2122,Empoli,Szymon Żurkowski,POL,MF,23,1997,25.6,5,0,0,41,67,0,23,35,33,0,1,0,162,24,32,42.9
ITA-Serie A,2122,Empoli,Tommaso Baldanzi,ITA,FW,18,2003,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
ITA-Serie A,2122,Empoli,Valerio Verre,ITA,MF,27,1994,3.4,2,1,0,8,3,0,2,1,2,0,0,0,29,0,7,0.0
ITA-Serie A,2122,Fiorentina,Aleksa Terzić,SRB,DF,21,1999,3.0,1,0,0,4,2,0,20,4,5,0,0,0,25,9,3,75.0
ITA-Serie A,2122,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",30,1991,0.6,1,0,0,2,2,0,0,0,1,0,0,0,1,5,5,50.0
ITA-Serie A,2122,Fiorentina,Alfred Duncan,GHA,MF,28,1993,21.5,3,0,0,22,13,0,44,10,19,0,0,0,92,9,17,34.6
ITA-Serie A,2122,Fiorentina,Arthur Cabral,BRA,FW,23,1998,8.3,1,0,0,16,10,1,2,1,5,0,0,0,15,12,26,31.6
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,6.2,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,
ITA-Serie A,2122,Fiorentina,Cristiano Biraghi,ITA,DF,28,1992,35.0,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0
ITA-Serie A,2122,Fiorentina,Dušan Vlahović,SRB,FW,21,2000,20.6,2,0,0,19,49,19,16,1,0,0,0,0,37,40,33,54.8
ITA-Serie A,2122,Fiorentina,Erick Pulgar,CHI,MF,27,1994,3.8,2,0,0,5,3,0,5,5,6,0,0,0,31,4,7,36.4
ITA-Serie A,2122,Fiorentina,Filippo Distefano,ITA,FW,17,2003,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ITA-Serie A,2122,Fiorentina,Gaetano Castrovilli,ITA,MF,24,1997,15.5,4,0,0,21,36,1,40,11,17,0,0,0,85,8,12,40.0
ITA-Serie A,2122,Fiorentina,Giacomo Bonaventura,ITA,MF,31,1989,25.2,8,1,1,31,49,2,36,14,17,2,0,0,141,16,16,50.0
ITA-Serie A,2122,Fiorentina,Igor,BRA,DF,23,1998,24.9,3,0,0,28,5,0,2,31,31,0,1,0,169,46,41,52.9
ITA-Serie A,2122,Fiorentina,Jonathan Ikone,FRA,FW,23,1998,7.2,1,0,0,6,6,1,9,1,3,0,0,0,42,3,8,27.3
ITA-Serie A,2122,Fiorentina,José Callejón,ESP,FW,34,1987,14.4,0,0,0,3,17,3,62,3,6,0,1,0,72,8,18,30.8
ITA-Serie A,2122,Fiorentina,Krzysztof Piątek,POL,FW,26,1995,8.1,0,0,0,7,16,3,5,2,4,0,0,0,16,18,27,40.0
ITA-Serie A,2122,Fiorentina,Lorenzo Venuti,ITA,DF,26,1995,17.5,4,0,0,15,32,0,29,5,10,0,0,1,76,9,8,52.9
ITA-Serie A,2122,Fiorentina,Lucas Martínez Quarta,ARG,DF,25,1996,15.9,8,0,0,30,11,0,1,19,25,0,1,0,121,47,32,59.5
ITA-Serie A,2122,Fiorentina,Lucas Torreira,URU,MF,25,1996,24.4,10,1,1,38,44,2,6,26,29,1,0,0,153,18,26,40.9
ITA-Serie A,2122,Fiorentina,Marco Benassi,ITA,"DF,MF",26,1994,1.8,1,0,0,4,0,0,4,3,0,0,0,0,9,3,5,37.5
ITA-Serie A,2122,Fiorentina,Matija Nastasić,SRB,DF,28,1993,2.4,1,0,0,2,0,0,0,5,1,0,0,0,13,3,1,75.0
ITA-Serie A,2122,Fiorentina,Nicolás González,ARG,FW,23,1998,26.2,4,1,1,30,97,5,64,21,16,3,0,0,95,66,59,52.8
ITA-Serie A,2122,Fiorentina,Nikola Milenković,SRB,DF,23,1997,32.5,10,1,1,48,21,0,2,39,32,0,1,0,172,98,32,75.4
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,31.8,0,0,0,0,5,0,0,2,0,0,0,0,44,13,2,86.7
ITA-Serie A,2122,Fiorentina,Riccardo Saponara,ITA,FW,29,1991,14.3,1,0,0,6,24,4,28,1,2,1,0,0,59,5,9,35.7
ITA-Serie A,2122,Fiorentina,Riccardo Sottil,ITA,FW,22,1999,13.8,4,1,1,15,40,7,47,1,4,0,0,0,32,7,13,35.0
ITA-Serie A,2122,Fiorentina,Sofyan Amrabat,MAR,MF,24,1996,10.5,6,0,0,25,14,0,6,5,13,0,0,0,67,6,13,31.6
ITA-Serie A,2122,Fiorentina,Youssef Maleh,MAR,MF,22,1998,11.3,5,0,0,43,19,0,18,6,16,0,0,0,48,11,9,55.0
ITA-Serie A,2122,Fiorentina,Álvaro Odriozola,ESP,DF,25,1995,19.3,4,1,0,15,12,1,52,8,15,1,1,0,88,1,18,5.3
ITA-Serie A,2122,Genoa,Abdoulaye Touré,GUI,MF,27,1994,4.8,1,0,0,3,9,0,3,4,4,0,0,0,27,5,4,55.6
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
ITA-Serie A,2122,Genoa,Albert Guðmundsson,ISL,"FW,MF",24,1997,6.7,3,0,0,14,10,3,41,5,3,0,0,0,32,3,6,33.3
ITA-Serie A,2122,Genoa,Aleksander Buksa,POL,FW,18,2003,0.7,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,50.0
ITA-Serie A,2122,Genoa,Andrea Cambiaso,ITA,DF,21,2000,19.9,5,1,1,22,16,1,66,23,20,0,0,0,144,7,17,29.2
ITA-Serie A,2122,Genoa,Andrea Favilli,ITA,FW,24,1997,0.4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,
