league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,Napoli,Giovanni Di Lorenzo,ITA,DF,27,1993,31.9,1,19,4,21.1,0.6,0.13,0.05,0.25,0,0,1.1,1.1,0.06,-0.1,-0.1
ITA-Serie A,2122,Napoli,Hirving Lozano,MEX,FW,26,1995,17.9,5,50,19,38.0,2.79,1.06,0.1,0.26,0,0,5.9,5.7,0.11,-0.9,-0.7
ITA-Serie A,2122,Napoli,Juan Jesus,BRA,DF,30,1991,14.2,1,4,1,25.0,0.28,0.07,0.25,1.0,0,0,0.3,0.3,0.08,0.7,0.7
ITA-Serie A,2122,Napoli,Kalidou Koulibaly,SEN,DF,30,1991,26.7,3,10,7,70.0,0.37,0.26,0.3,0.43,0,0,1.3,1.3,0.13,1.7,1.7
ITA-Serie A,2122,Napoli,Kostas Manolas,GRE,DF,30,1991,3.5,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Napoli,Kévin Malcuit,MAR,"DF,MF",30,1991,3.2,0,1,0,0.0,0.31,0.0,0.0,,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2122,Napoli,Lorenzo Insigne,ITA,FW,30,1991,25.4,11,81,24,29.6,3.18,0.94,0.02,0.08,9,13,15.3,4.9,0.06,-4.3,-2.9
ITA-Serie A,2122,Napoli,Matteo Politano,ITA,FW,27,1993,18.3,3,42,11,26.2,2.29,0.6,0.07,0.27,0,0,2.6,2.6,0.06,0.4,0.4
ITA-Serie A,2122,Napoli,Mário Rui,POR,DF,30,1991,33.2,0,32,10,31.3,0.96,0.3,0.0,0.0,0,0,1.6,1.6,0.05,-1.6,-1.6
ITA-Serie A,2122,Napoli,Piotr Zieliński,POL,MF,27,1994,23.2,6,43,15,34.9,1.86,0.65,0.14,0.4,0,0,3.4,3.4,0.08,2.6,2.6
ITA-Serie A,2122,Napoli,Stanislav Lobotka,SVK,MF,26,1994,18.7,1,2,1,50.0,0.11,0.05,0.5,1.0,0,0,0.1,0.1,0.06,0.9,0.9
ITA-Serie A,2122,Napoli,Victor Osimhen,NGA,FW,22,1998,22.0,14,91,29,31.9,4.13,1.32,0.15,0.48,0,0,10.5,10.5,0.12,3.5,3.5
ITA-Serie A,2122,Roma,Ainsley Maitland-Niles,ENG,DF,23,1997,5.4,0,3,2,66.7,0.55,0.37,0.0,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
ITA-Serie A,2122,Roma,Amadou Diawara,GUI,MF,24,1997,1.9,0,1,0,0.0,0.53,0.0,0.0,,0,0,0.0,0.0,0.01,0.0,0.0
ITA-Serie A,2122,Roma,Borja Mayoral,ESP,"FW,DF",24,1997,1.1,0,1,0,0.0,0.94,0.0,0.0,,0,0,0.3,0.3,0.31,-0.3,-0.3
ITA-Serie A,2122,Roma,Bryan Cristante,ITA,MF,26,1995,29.8,2,40,5,12.5,1.34,0.17,0.05,0.4,0,0,2.2,2.2,0.06,-0.2,-0.2
ITA-Serie A,2122,Roma,Bryan Reynolds,USA,DF,20,2001,0.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Roma,Carles Pérez,ESP,"MF,FW",23,1998,6.2,1,27,8,29.6,4.39,1.3,0.04,0.13,0,0,1.5,1.5,0.06,-0.5,-0.5
ITA-Serie A,2122,Roma,Chris Smalling,ENG,DF,31,1989,23.2,3,10,3,30.0,0.43,0.13,0.3,1.0,0,0,2.4,2.4,0.24,0.6,0.6
ITA-Serie A,2122,Roma,Cristian Volpato,ITA,"FW,MF",17,2003,0.4,1,1,1,100.0,2.37,2.37,1.0,1.0,0,0,0.1,0.1,0.1,0.9,0.9
ITA-Serie A,2122,Roma,Dimitrios Keramitsis,GRE,MF,17,2004,0.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Roma,Ebrima Darboe,GAM,MF,20,2001,0.7,0,1,0,0.0,1.43,0.0,0.0,,0,0,0.1,0.1,0.06,-0.1,-0.1
ITA-Serie A,2122,Roma,Edoardo Bove,ITA,"MF,DF",19,2002,0.8,1,1,1,100.0,1.32,1.32,1.0,1.0,0,0,0.0,0.0,0.02,1.0,1.0
ITA-Serie A,2122,Roma,Eldor Shomurodov,UZB,"FW,MF",26,1995,8.7,3,31,11,35.5,3.56,1.26,0.1,0.27,0,0,4.3,4.3,0.14,-1.3,-1.3
ITA-Serie A,2122,Roma,Felix Afena-Gyan,GHA,"FW,MF",18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,0,0,1.7,1.7,0.1,0.3,0.3
ITA-Serie A,2122,Roma,Gianluca Mancini,ITA,DF,25,1996,32.0,0,24,6,25.0,0.75,0.19,0.0,0.0,0,0,2.4,2.3,0.1,-2.4,-2.3
ITA-Serie A,2122,Roma,Henrikh Mkhitaryan,ARM,"MF,FW",32,1989,27.7,5,55,16,29.1,1.98,0.58,0.09,0.31,0,0,3.9,3.9,0.07,1.1,1.1
ITA-Serie A,2122,Roma,Jordan Veretout,FRA,MF,28,1993,25.8,4,27,8,29.6,1.05,0.31,0.11,0.38,1,2,4.6,3.1,0.11,-0.6,-0.1
ITA-Serie A,2122,Roma,Leonardo Spinazzola,ITA,DF,28,1993,1.4,0,2,0,0.0,1.42,0.0,0.0,,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2122,Roma,Lorenzo Pellegrini,ITA,MF,25,1996,25.4,9,89,28,31.5,3.5,1.1,0.08,0.25,2,3,8.9,6.4,0.07,0.1,0.6
ITA-Serie A,2122,Roma,Marash Kumbulla,ALB,DF,21,2000,11.4,0,7,3,42.9,0.61,0.26,0.0,0.0,0,0,0.8,0.8,0.12,-0.8,-0.8
ITA-Serie A,2122,Roma,Matías Viña,URU,"DF,FW",23,1997,17.4,0,12,3,25.0,0.69,0.17,0.0,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6
ITA-Serie A,2122,Roma,Nicola Zalewski,POL,DF,19,2002,8.8,0,9,4,44.4,1.02,0.45,0.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
ITA-Serie A,2122,Roma,Nicolò Zaniolo,ITA,"FW,MF",22,1999,21.9,2,70,20,28.6,3.2,0.91,0.03,0.1,0,0,5.6,5.6,0.08,-3.6,-3.6
ITA-Serie A,2122,Roma,Riccardo Calafiori,ITA,DF,19,2002,1.9,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Roma,Rick Karsdorp,NED,"DF,FW",26,1995,32.0,0,2,1,50.0,0.06,0.03,0.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
