league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,100,64,36,8,0,0,0,0,0,0,0,0,55,0,0
ITA-Serie A,2122,Cagliari,Charalampos Lykogiannis,GRE,"DF,FW",27,1993,20.2,766,558,206,21,0,3,95,166,18,3,13,1,460,2,32
ITA-Serie A,2122,Cagliari,Christian Oliva,URU,MF,25,1996,0.5,33,30,2,2,0,1,0,0,0,0,0,0,28,1,0
ITA-Serie A,2122,Cagliari,Christos Kourfalidis,GRE,"MF,FW",18,2002,0.2,13,13,0,0,0,0,0,0,0,0,0,0,8,0,2
ITA-Serie A,2122,Cagliari,Dalbert Henrique,BRA,"DF,MF",27,1993,23.1,841,642,195,16,0,4,73,166,13,3,4,0,592,4,22
ITA-Serie A,2122,Cagliari,Damir Ceter,COL,FW,23,1997,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2122,Cagliari,Daniele Baselli,ITA,MF,29,1992,3.2,151,131,20,9,1,0,17,1,10,7,3,0,110,0,3
ITA-Serie A,2122,Cagliari,Diego Farias,BRA,"MF,FW",31,1990,0.7,35,34,1,0,0,1,2,1,0,0,0,0,29,0,1
ITA-Serie A,2122,Cagliari,Diego Godín,URU,DF,35,1986,9.1,439,418,20,18,1,2,0,0,0,0,0,0,394,1,1
ITA-Serie A,2122,Cagliari,Edoardo Goldaniga,ITA,DF,27,1993,10.4,486,408,77,17,0,5,13,60,0,0,0,0,345,1,8
ITA-Serie A,2122,Cagliari,Gabriele Zappa,ITA,DF,21,1999,12.7,609,512,95,11,0,2,25,84,0,0,0,0,454,2,25
ITA-Serie A,2122,Cagliari,Gastón Pereiro,URU,"FW,MF",26,1995,10.8,372,331,40,12,1,2,40,8,16,5,4,1,237,1,12
ITA-Serie A,2122,Cagliari,Giorgio Altare,ITA,DF,22,1998,16.3,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11
ITA-Serie A,2122,Cagliari,Giovanni Simeone,ARG,FW,26,1995,0.1,4,4,0,0,0,0,1,0,0,0,0,0,2,0,1
ITA-Serie A,2122,Cagliari,João Pedro,ITA,FW,29,1992,36.9,714,630,82,4,2,17,14,5,0,0,0,0,507,2,16
ITA-Serie A,2122,Cagliari,Keita Baldé,SEN,FW,26,1995,13.7,260,248,12,1,1,1,8,0,0,0,0,0,187,0,6
ITA-Serie A,2122,Cagliari,Kevin Strootman,NED,MF,31,1990,7.1,368,348,19,17,1,2,2,1,1,0,1,0,297,1,6
ITA-Serie A,2122,Cagliari,Leonardo Pavoletti,ITA,FW,32,1988,16.9,487,481,5,1,0,0,3,0,0,0,0,0,313,1,7
ITA-Serie A,2122,Cagliari,Luca Ceppitelli,ITA,DF,31,1989,16.1,802,763,34,28,0,8,7,6,0,0,0,0,671,5,9
ITA-Serie A,2122,Cagliari,Luca Gagliano,ITA,"FW,DF",21,2000,0.1,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
ITA-Serie A,2122,Cagliari,Marko Rog,CRO,MF,26,1995,3.5,152,141,11,8,0,1,3,2,1,1,0,0,122,0,3
ITA-Serie A,2122,Cagliari,Martín Cáceres,URU,DF,34,1987,9.2,452,375,74,11,0,11,12,63,0,0,0,0,311,3,6
ITA-Serie A,2122,Cagliari,Matteo Lovato,ITA,DF,21,2000,13.8,592,535,55,52,0,4,0,3,0,0,0,0,488,2,4
ITA-Serie A,2122,Cagliari,Nahitan Nández,URU,"MF,DF",25,1995,16.9,648,601,44,7,0,8,65,33,4,0,3,0,453,3,20
ITA-Serie A,2122,Cagliari,Paolo Faragò,ITA,MF,28,1993,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
ITA-Serie A,2122,Cagliari,Raoul Bellanova,ITA,"DF,FW",21,2000,27.7,933,837,95,4,0,6,96,91,0,0,0,0,667,1,29
ITA-Serie A,2122,Cagliari,Răzvan Marin,ROU,MF,25,1996,31.3,1303,1113,183,83,6,12,127,9,78,27,43,0,997,7,27
ITA-Serie A,2122,Cagliari,Sebastian Walukiewicz,POL,DF,21,2000,3.4,171,164,7,4,0,1,1,3,0,0,0,0,152,0,1
ITA-Serie A,2122,Empoli,Andrea La Mantia,ITA,"FW,MF",30,1991,5.4,105,102,3,0,0,0,1,0,0,0,0,0,63,0,3
ITA-Serie A,2122,Empoli,Andrea Pinamonti,ITA,FW,22,1999,31.9,636,608,25,0,4,1,28,5,0,0,0,0,381,3,24
ITA-Serie A,2122,Empoli,Ardian Ismajli,ALB,DF,24,1996,14.1,725,683,40,22,1,1,3,9,0,0,0,0,616,2,6
ITA-Serie A,2122,Empoli,Fabiano Parisi,ITA,DF,20,2000,16.4,777,598,174,14,1,4,43,159,1,0,0,0,585,5,12
ITA-Serie A,2122,Empoli,Federico Di Francesco,ITA,"FW,MF",27,1994,15.2,386,366,15,2,3,5,38,1,8,3,3,0,249,5,12
ITA-Serie A,2122,Empoli,Filippo Bandinelli,ITA,MF,26,1995,21.7,733,700,26,4,4,6,68,14,6,1,1,0,537,7,21
ITA-Serie A,2122,Empoli,Giovanni Crociata,ITA,FW,23,1997,0.2,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,1325,975,348,91,0,0,0,0,0,0,0,0,1042,2,0
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,15.0,779,718,60,36,1,6,29,4,19,9,7,0,638,1,7
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,9.3,483,427,48,28,2,1,25,0,20,5,11,0,379,8,6
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,4.7,77,67,10,0,0,0,5,1,0,0,0,0,51,0,1
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,22.4,856,765,84,18,1,4,87,15,30,5,17,0,592,7,37
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,5.2,234,188,45,5,0,1,11,40,0,0,0,0,193,1,4
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,9.7,560,504,55,44,1,2,1,2,0,0,0,0,463,1,7
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,4.2,174,161,13,1,1,1,13,9,1,0,1,0,117,0,10
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,16.6,679,615,63,38,0,1,0,13,0,0,0,0,568,1,6
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,22.8,898,730,163,32,5,4,156,8,97,40,47,0,621,5,31
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,11.1,459,444,9,3,1,2,15,5,1,0,0,0,351,6,14
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,15.6,248,226,20,1,0,2,21,2,0,0,0,0,161,2,9
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,30.4,1721,1370,346,41,4,7,68,302,3,0,0,0,1337,5,41
ITA-Serie A,2122,Empoli,Riccardo Fiamozzi,ITA,DF,28,1993,6.9,387,302,85,6,0,6,11,79,0,0,0,0,291,0,15
ITA-Serie A,2122,Empoli,Riccardo Marchizza,ITA,DF,23,1998,15.0,667,504,157,10,0,1,42,146,1,0,0,0,460,6,26
ITA-Serie A,2122,Empoli,Samuele Ricci,ITA,MF,19,2001,17.0,932,888,42,40,1,7,6,2,0,0,0,0,832,2,10
ITA-Serie A,2122,Empoli,Sebastiano Luperto,ITA,DF,24,1996,21.8,982,895,82,42,1,8,6,4,0,0,0,0,821,5,4
ITA-Serie A,2122,Empoli,Simone Romagnoli,ITA,DF,31,1990,16.6,796,726,63,47,0,2,1,1,0,0,0,0,612,7,6
ITA-Serie A,2122,Empoli,Szymon Żurkowski,POL,MF,23,1997,25.6,901,892,7,2,4,3,23,5,0,0,0,0,702,2,32
ITA-Serie A,2122,Empoli,Tommaso Baldanzi,ITA,FW,18,2003,0.2,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
ITA-Serie A,2122,Empoli,Valerio Verre,ITA,MF,27,1994,3.4,165,158,7,1,1,1,2,1,2,0,0,0,122,0,3
ITA-Serie A,2122,Fiorentina,Aleksa Terzić,SRB,DF,21,1999,3.0,238,196,41,7,0,0,20,23,11,1,5,0,196,1,4
ITA-Serie A,2122,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",30,1991,0.6,24,22,2,0,0,0,0,0,0,0,0,0,15,0,1
ITA-Serie A,2122,Fiorentina,Alfred Duncan,GHA,MF,28,1993,21.5,947,918,23,11,4,20,44,9,3,1,0,0,740,6,26
ITA-Serie A,2122,Fiorentina,Arthur Cabral,BRA,FW,23,1998,8.3,142,126,16,0,1,2,2,0,0,0,0,0,110,0,5
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,6.2,345,294,49,10,0,1,0,0,0,0,0,0,276,2,0
ITA-Serie A,2122,Fiorentina,Cristiano Biraghi,ITA,DF,28,1992,35.0,2600,2017,575,130,0,34,278,324,121,18,82,0,2080,8,55
ITA-Serie A,2122,Fiorentina,Dušan Vlahović,SRB,FW,21,2000,20.6,395,353,41,1,7,4,16,1,0,0,0,0,270,1,18
ITA-Serie A,2122,Fiorentina,Erick Pulgar,CHI,MF,27,1994,3.8,239,214,24,24,0,2,5,0,0,0,0,0,208,1,3
ITA-Serie A,2122,Fiorentina,Filippo Distefano,ITA,FW,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2122,Fiorentina,Gaetano Castrovilli,ITA,MF,24,1997,15.5,539,499,37,16,4,11,40,6,13,1,10,0,404,3,20
ITA-Serie A,2122,Fiorentina,Giacomo Bonaventura,ITA,MF,31,1989,25.2,1206,1153,47,21,7,14,36,4,17,0,12,0,999,6,18
ITA-Serie A,2122,Fiorentina,Igor,BRA,DF,23,1998,24.9,1688,1629,59,50,1,17,2,9,0,0,0,0,1550,0,9
ITA-Serie A,2122,Fiorentina,Jonathan Ikone,FRA,FW,23,1998,7.2,273,270,3,1,2,3,9,2,0,0,0,0,227,0,4
ITA-Serie A,2122,Fiorentina,José Callejón,ESP,FW,34,1987,14.4,618,577,38,10,2,5,62,4,24,0,19,0,484,3,6
ITA-Serie A,2122,Fiorentina,Krzysztof Piątek,POL,FW,26,1995,8.1,158,138,18,0,0,0,5,0,0,0,0,0,126,2,4
ITA-Serie A,2122,Fiorentina,Lorenzo Venuti,ITA,DF,26,1995,17.5,1046,911,134,22,0,6,29,112,0,0,0,0,909,1,12
ITA-Serie A,2122,Fiorentina,Lucas Martínez Quarta,ARG,DF,25,1996,15.9,1123,1083,39,33,0,17,1,6,0,0,0,0,1007,1,8
ITA-Serie A,2122,Fiorentina,Lucas Torreira,URU,MF,25,1996,24.4,1368,1275,90,86,5,6,6,2,0,0,0,0,1193,3,12
ITA-Serie A,2122,Fiorentina,Marco Benassi,ITA,"DF,MF",26,1994,1.8,133,116,17,4,0,3,4,12,0,0,0,0,108,0,4
ITA-Serie A,2122,Fiorentina,Matija Nastasić,SRB,DF,28,1993,2.4,154,152,2,2,0,2,0,0,0,0,0,0,143,0,0
ITA-Serie A,2122,Fiorentina,Nicolás González,ARG,FW,23,1998,26.2,940,897,37,6,3,26,64,27,3,2,0,0,693,6,27
ITA-Serie A,2122,Fiorentina,Nikola Milenković,SRB,DF,23,1997,32.5,2098,2019,78,73,0,38,2,5,0,0,0,0,1877,1,12
